Internal SKU,Brand/Vendor,Product Type,Product Title,Price (USD)
INF-TYS-SHO-2026,Taylor Stitch,Wovens,The Short Sleeve Jack in Steel Blue Stripe Seersucker,128.0
INF-TYS-JAC-2026,Taylor Stitch,Wovens,The Jack in Blue Sky Stripe Linen,145.0
INF-TYS-BRE-2026,Taylor Stitch,Bottoms,The Breakwater Pant in Rinsed Indigo Hemp Denim,142.0
INF-TYS-PLE-2026,Taylor Stitch,Bottoms,The Pleated Short in Organic Field Khaki Twill,138.0
INF-TYS-SHO-2026,Taylor Stitch,Wovens,The Short Sleeve Jack in Sage Linen,135.0
INF-TYS-SCO-2026,Taylor Stitch,Bottoms,The Scout Short in Burnt Olive Ripstop,138.0
INF-TYS-JAC-2026,Taylor Stitch,Wovens,The Jack in Vintage White Linen,145.0
INF-TYS-DEM-2026,Taylor Stitch,Bottoms,The Democratic Jean in Light Wash Hemp Denim,178.0
INF-TYS-SHO-2026,Taylor Stitch,Wovens,The Short Sleeve California in Desert Hemp,118.0
INF-TYS-CAN-2026,Taylor Stitch,Knits,The Canal Popover in Rinsed Indigo,168.0
INF-TYS-AIR-2026,Taylor Stitch,Outerwear,The Airman Jacket in Organic Khaki Foundation Twill,238.0
INF-TYS-SQU-2026,Taylor Stitch,Outerwear,The Squall Anorak in Navy Twill,188.0
INF-TYS-DIS-2026,Taylor Stitch,Wovens,The Dispatch Shirt in Smoked Olive Broken Twill,148.0
INF-TYS-RUG-2026,Taylor Stitch,Knits,The Rugby Shirt in Burnt Olive,128.0
INF-TYS-BRE-2026,Taylor Stitch,Bottoms,The Breakwater Pant in Grey Marl Hemp,138.0
INF-TYS-SHO-2026,Taylor Stitch,Wovens,The Shore Shirt in Washed Indigo Twill,148.0
INF-TYS-SHO-2026,Taylor Stitch,Wovens,The Short Sleeve Mechanic Shirt in Atlantic Ripstop,138.0
INF-TYS-PAC-2026,Taylor Stitch,Knits,The Pacific Polo in Rinsed Indigo Pique,98.0
INF-TYS-PAC-2026,Taylor Stitch,Knits,The Pacific Polo in Washed Indigo Pique Stripe,98.0
INF-TYS-PAC-2026,Taylor Stitch,Knits,The Pacific Polo in Black Indigo Pique Stripe,98.0
INF-TYS-BRO-2026,Taylor Stitch,Knits,The Brody Sweater Tee in Espresso Stripe,108.0
INF-TYS-APR-2026,Taylor Stitch,Bottoms,The Apres Short in Field Khaki Hemp,108.0
INF-TYS-APR-2026,Taylor Stitch,Bottoms,The Apres Short in Burgundy Hemp,108.0
INF-TYS-VAL-2026,Taylor Stitch,Knits,The Valencia Sweater Polo in Coal Stripe,158.0
INF-TYS-SHO-2026,Taylor Stitch,Wovens,The Shore Shirt in Navy Lyocell,148.0
INF-TYS-SHO-2026,Taylor Stitch,Wovens,The Shore Shirt in Fog Check Lyocell,148.0
INF-TYS-BYW-2026,Taylor Stitch,Knits,The Bywater Polo in Rinsed Indigo Knit Stripe,118.0
INF-TYS-BYW-2026,Taylor Stitch,Knits,The Bywater Polo in Burgundy Knit Stripe,118.0
INF-TYS-BYW-2026,Taylor Stitch,Knits,The Bywater Polo in Natural Knit Stripe,118.0
INF-TYS-STE-2026,Taylor Stitch,Outerwear,The Stevens Sportcoat in Morel Micro Check,398.0
INF-TYS-STE-2026,Taylor Stitch,Bottoms,The Stevens Trouser in Morel Micro Check,218.0
INF-TYS-MON-2026,Taylor Stitch,Knits,The Monterey Sweater Polo in Vintage White Crochet,148.0
INF-TYS-DRI-2026,Taylor Stitch,Bottoms,The Drift Board Short in Ivory Floral,118.0
INF-TYS-DRI-2026,Taylor Stitch,Bottoms,The Drift Board Short in Ivy,118.0
INF-TYS-DRI-2026,Taylor Stitch,Bottoms,The Drift Board Short in Bluefin,118.0
INF-TYS-APR-2026,Taylor Stitch,Bottoms,The Apres Short in Heather Oat Pincord,108.0
INF-TYS-APR-2026,Taylor Stitch,Bottoms,The Apres Short in Heather Chili Pincord,108.0
INF-TYS-APR-2026,Taylor Stitch,Bottoms,The Apres Short in Rinsed Indigo Pincord,108.0
INF-TYS-SHO-2026,Taylor Stitch,Wovens,The Short Sleeve Crew Shirt in Washed Indigo Chambray,138.0
INF-TYS-SHO-2026,Taylor Stitch,Wovens,The Short Sleeve Crew Shirt in Natural Chambray,138.0
INF-TYS-CON-2026,Taylor Stitch,Wovens,The Conrad Shirt in Faded Black Linen,128.0
INF-TYS-APR-2026,Taylor Stitch,Bottoms,The Apres Short in Organic Aged Stone Foundation Twill,108.0
INF-TYS-PIS-2026,Taylor Stitch,Outerwear,The Piston Jacket in Coal Corduroy,198.0
INF-TYS-PIS-2026,Taylor Stitch,Outerwear,The Piston Jacket in Ivy Corduroy,198.0
INF-TYS-HAW-2026,Taylor Stitch,Wovens,The Hawthorne Shirt in Sky Blue Floral Jacquard,135.0
INF-TYS-HAW-2026,Taylor Stitch,Wovens,The Hawthorne Shirt in Burnt Olive Floral Jacquard,135.0
INF-TYS-SHO-2026,Taylor Stitch,Wovens,The Short Sleeve Surplus Shirt in Navy Reverse Sateen,138.0
INF-TYS-SHO-2026,Taylor Stitch,Wovens,The Short Sleeve Jack in Desert Twist Waffle,128.0
INF-TYS-SHO-2026,Taylor Stitch,Wovens,The Short Sleeve Jack in Fern Twist Waffle,128.0
INF-TYS-RYD-2026,Taylor Stitch,Outerwear,The Ryder Jacket in Burgundy Chipped Canvas,218.0
INF-TYS-HAW-2026,Taylor Stitch,Wovens,The Hawthorne Shirt in Japanese Night Bloom Jacquard,168.0
INF-TYS-FOU-2026,Taylor Stitch,Wovens,The Foundry Shirt in Japanese Shadow Nep,188.0
INF-TYS-JAC-2026,Taylor Stitch,Wovens,The Jack in Japanese Oyster Plaid,188.0
INF-TYS-JAC-2026,Taylor Stitch,Wovens,The Jack in Japanese Fog Nep,188.0
INF-TYS-BUT-2026,Taylor Stitch,Knits,The Button Down Polo in Gulf Stream Herringbone,138.0
INF-TYS-BUT-2026,Taylor Stitch,Knits,The Button Down Polo in Desert Herringbone,138.0
